lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
Meruya,Jakarta Barat,1550000000,3.0,3.0,78,110,yes,no,yes,no,no
Tanjung Duren,Jakarta Barat,2250000000,3.0,3.0,56,110,yes,no,yes,no,no
Cipinang,Jakarta Timur,720000000,2.0,3.0,31,61,yes,no,no,no,yes
Permata Buana,Jakarta Barat,4790000000,4.0,2.0,200,180,no,no,no,no,no
Kemayoran,Jakarta Pusat,490000000,2.0,2.0,22,42,no,no,no,no,yes
Pulo Gadung,Jakarta Timur,1020000000,2.0,3.0,46,73,no,no,no,no,yes
Green Lake City,Jakarta Barat,2300000000,4.0,3.0,90,150,no,no,no,no,yes
Pantai Indah Kapuk,Jakarta Utara,1650000000,3.0,3.0,45,80,no,no,yes,no,yes
Jagakarsa,Jakarta Selatan,1800000000,3.0,3.0,120,168,yes,no,yes,no,no
Cempaka Putih,Jakarta Pusat,2960000000,3.0,3.0,92,92,no,no,yes,no,no
Green Lake City,Jakarta Barat,2450000000,3.0,2.0,108,135,yes,no,yes,no,no
Tamansari,Jakarta Barat,489000000,2.0,1.0,22,36,no,no,no,no,yes
Pantai Indah Kapuk,Jakarta Utara,4200000000,3.0,3.0,120,150,no,no,yes,no,yes
Pejaten,Jakarta Selatan,2800000000,3.0,2.0,103,150,yes,yes,no,no,no
Asemka,Jakarta Barat,475000000,2.0,1.0,22,36,no,no,no,no,no
Green Lake City,Jakarta Barat,2090000000,3.0,2.0,90,100,yes,no,no,no,no
Green Lake City,Jakarta Barat,2070000000,3.0,3.0,90,120,yes,no,no,no,no
Graha Bintaro,Jakarta Selatan,1500000000,3.0,1.0,105,75,yes,no,no,no,no
Cibubur,Jakarta Timur,695000000,3.0,2.0,54,60,no,no,no,no,no
Green Lake City,Jakarta Barat,3250000000,3.0,3.0,120,150,yes,no,no,no,no
Cibubur,Jakarta Timur,800000000,3.0,2.0,53,74,yes,no,no,no,no
Ciracas,Jakarta Timur,2500000000,3.0,3.0,105,114,yes,no,no,no,no
Cibubur,Jakarta Timur,3500000000,4.0,3.0,160,181,no,no,yes,no,no
Cilandak,Jakarta Selatan,2650000000,3.0,3.0,62,140,no,no,no,no,yes
Kota Wisata,Jakarta Timur,1230000000,3.0,2.0,120,88,yes,no,no,no,no
Jatinegara,Jakarta Timur,1600000000,2.0,2.0,124,86,yes,no,yes,no,no
Rawamangun,Jakarta Timur,910000000,2.0,2.0,30,54,no,no,no,no,yes
Cakung,Jakarta Timur,1800000000,2.0,2.0,90,63,yes,no,yes,no,no
Cakung,Jakarta Timur,2700000000,3.0,2.0,105,108,no,no,no,yes,no
Pantai Indah Kapuk,Jakarta Utara,4500000000,2.0,3.0,137,160,yes,no,no,no,no
Daan Mogot,Jakarta Barat,1700000000,3.0,3.0,200,180,yes,no,no,no,no
Jagakarsa,Jakarta Selatan,1300000000,4.0,3.0,108,160,yes,no,no,no,no
Green Lake City,Jakarta Barat,2550000000,4.0,3.0,96,130,yes,no,no,no,no
Pantai Indah Kapuk,Jakarta Utara,7500000000,3.0,3.0,195,200,no,no,yes,no,no
Puri Mansion,Jakarta Barat,2700000000,3.0,3.0,90,110,no,no,yes,no,no
Metland Puri,Jakarta Barat,3200000000,3.0,2.0,160,200,no,no,yes,no,no
Teluk Gong,Jakarta Utara,2200000000,5.0,2.0,90,150,no,no,yes,no,no
Citra Garden,Jakarta Barat,6400000000,3.0,3.0,190,192,yes,no,yes,no,no
Pondok Labu,Jakarta Selatan,854000000,2.0,2.0,37,65,yes,no,no,no,yes
Cempaka Putih,Jakarta Pusat,3550000000,3.0,2.0,80,111,yes,no,no,no,yes
Pulo Gadung,Jakarta Timur,780000000,3.0,3.0,37,68,no,no,no,no,no
Pulo Gadung,Jakarta Timur,780000000,3.0,3.0,37,68,no,no,no,no,no
Gunung Sahari,Jakarta Pusat,430000000,2.0,2.0,19,36,no,no,no,no,no
Kemayoran,Jakarta Pusat,490000000,2.0,2.0,19,36,no,no,yes,no,no
Fatmawati,Jakarta Selatan,862000000,2.0,2.0,36,62,no,no,no,no,yes
Cilandak,Jakarta Selatan,1040000000,3.0,3.0,41,79,yes,no,no,no,no
Pondok Labu,Jakarta Selatan,854000000,3.0,3.0,41,69,no,no,yes,no,yes
Jatinegara,Jakarta Timur,694000000,2.0,2.0,31,60,no,no,no,no,yes
Cempaka Putih,Jakarta Pusat,2210000000,4.0,4.0,54,120,no,no,no,no,yes
Green Lake City,Jakarta Barat,2330000000,2.0,3.0,90,127,no,no,no,yes,no
Pantai Indah Kapuk,Jakarta Utara,3100000000,3.0,3.0,90,120,yes,no,no,yes,no
