lokasi,kota,harga,K_tidur,K_mandi,luas_tanah_m2,luas_bangunan_m2,taman,AC,jalur_telepon,kolam_renang,CCTV
Cibinong,Bogor,650000000,3.0,2.0,80,160,no,no,no,no,no
Cilendek Barat,Bogor,1000000000,4.0,3.0,187,200,yes,no,no,no,no
Gunung Putri,Bogor,850000000,2.0,1.0,166,45,no,no,no,no,no
Bogor Selatan,Bogor,287000000,2.0,1.0,111,45,yes,no,no,no,no
Gunung Putri,Bogor,1500000000,5.0,3.0,105,136,yes,no,no,no,no
Bogor Selatan,Bogor,1000000000,3.0,2.0,120,60,yes,no,no,no,no
Bogor Selatan,Bogor,900000000,3.0,2.0,119,90,yes,no,no,no,no
Bogor Selatan,Bogor,900000000,3.0,2.0,119,90,yes,no,no,no,no
Ciomas,Bogor,300000000,2.0,1.0,84,38,yes,no,no,no,no
Citeureup,Bogor,550000000,2.0,1.0,77,45,yes,no,yes,no,no
Cileungsi,Bogor,750000000,5.0,2.0,115,115,yes,no,no,no,no
Tanah Sareal,Bogor,275000000,2.0,1.0,72,50,no,no,yes,no,no
Cibinong,Bogor,640000000,3.0,2.0,60,120,yes,no,no,no,no
Cibinong,Bogor,1560000000,3.0,2.0,91,84,yes,no,no,no,no
Ciseeng,Bogor,500000000,2.0,1.0,84,50,yes,no,yes,no,no
Bojong Gede,Bogor,810000000,2.0,1.0,136,36,yes,no,no,no,no
Sentul City,Bogor,860000000,2.0,1.0,72,54,yes,no,no,no,no
Sentul City,Bogor,730000000,2.0,1.0,72,50,no,no,no,no,no
Cilebut,Bogor,550000000,3.0,2.0,72,66,yes,no,no,no,no
Gunung Sindur,Bogor,980000000,3.0,2.0,95,70,no,no,no,no,no
Gunung Sindur,Bogor,970000000,2.0,3.0,98,60,yes,no,no,no,no
Gunung Sindur,Bogor,970000000,2.0,3.0,98,60,yes,no,no,no,no
Gunung Sindur,Bogor,1610000000,2.0,2.0,200,160,yes,no,no,no,no
Rancamaya,Bogor,650000000,2.0,2.0,90,60,no,no,no,no,no
Kota Wisata,Bogor,1930000000,3.0,3.0,160,108,no,no,no,no,no
Kota Wisata,Bogor,670000000,2.0,2.0,84,50,no,no,no,no,no
Kota Wisata,Bogor,810000000,2.0,1.0,105,45,no,no,no,no,no
Gunung Sindur,Bogor,1020000000,4.0,2.0,144,64,yes,no,no,no,no
Gunung Sindur,Bogor,2250000000,3.0,2.0,126,115,yes,no,no,no,no
Cileungsi,Bogor,540000000,2.0,1.0,72,72,yes,no,no,no,no
Cileungsi,Bogor,810000000,3.0,1.0,77,105,yes,no,no,no,no
Cigombong,Bogor,425000000,2.0,1.0,72,60,no,no,yes,no,no
Sentul City,Bogor,1020000000,4.0,2.0,90,45,no,no,no,no,no
Sentul City,Bogor,650000000,3.0,2.0,72,90,no,no,no,no,no
Sentul City,Bogor,1560000000,3.0,2.0,91,84,no,no,no,no,no
Tajur,Bogor,1590000000,2.0,2.0,72,73,no,no,no,no,no
Gunung Putri,Bogor,1270000000,2.0,1.0,170,70,no,no,no,no,no
Kota Wisata,Bogor,1670000000,3.0,3.0,90,140,no,no,yes,no,no
Kota Wisata,Bogor,830000000,2.0,1.0,105,90,no,no,no,no,no
Sentul City,Bogor,2200000000,3.0,3.0,140,200,no,no,no,no,no
Tenjo,Bogor,700000000,2.0,2.0,108,105,yes,no,no,no,no
Tajur Halang,Bogor,750000000,2.0,1.0,75,45,yes,no,no,no,no
Sukaraja,Bogor,750000000,2.0,1.0,91,47,yes,no,no,no,no
Parung,Bogor,650000000,2.0,1.0,90,90,yes,no,no,no,no
Katulampa,Bogor,970000000,2.0,1.0,75,42,yes,no,no,no,no
Jonggol,Bogor,700000000,2.0,1.0,114,50,yes,no,no,no,no
Sukaraja,Bogor,810000000,3.0,2.0,101,45,yes,no,no,no,no
Sukaraja,Bogor,810000000,3.0,2.0,101,45,yes,no,no,no,no
Sukaraja,Bogor,790000000,2.0,2.0,78,60,yes,no,no,no,no
Bojong Gede,Bogor,910000000,2.0,2.0,90,130,yes,no,no,no,no
Bojong Gede,Bogor,810000000,2.0,1.0,136,36,yes,no,no,no,no
Bogor Barat,Bogor,820000000,2.0,1.0,78,54,yes,no,no,no,no
Bogor Barat,Bogor,1180000000,3.0,2.0,141,100,no,no,no,no,no
Bogor Barat,Bogor,1020000000,2.0,2.0,147,100,yes,no,no,no,no
Tanah Sareal,Bogor,810000000,2.0,1.0,90,60,yes,no,no,no,no
Tanah Sareal,Bogor,750000000,2.0,1.0,98,48,yes,no,no,no,no
Sentul City,Bogor,950000000,2.0,1.0,90,100,no,no,yes,no,no
Rancamaya,Bogor,1610000000,3.0,2.0,126,85,no,no,no,no,no
Gunung Putri,Bogor,299000000,2.0,1.0,30,30,no,no,yes,no,no
Pamoyanan,Bogor,1450000000,3.0,3.0,70,85,yes,no,no,no,no
Sentul City,Bogor,1450000000,3.0,3.0,70,85,yes,no,no,no,no
Cileungsi,Bogor,1340000000,3.0,2.0,105,69,no,no,no,no,no
Gunung Sindur,Bogor,700000000,2.0,1.0,78,50,no,yes,yes,no,no
Gunung Putri,Bogor,910000000,3.0,1.0,150,100,no,yes,yes,no,no
Sentul City,Bogor,1220000000,3.0,2.0,90,110,yes,no,no,no,no
Rancamaya,Bogor,540000000,3.0,1.0,72,45,no,no,no,no,no
Bogor Barat,Bogor,1500000000,2.0,1.0,156,144,no,yes,yes,no,no
Bojong Gede,Bogor,650000000,3.0,2.0,136,36,no,no,no,no,no
Ciluar,Bogor,725000000,2.0,1.0,120,54,yes,no,no,no,no
Cibinong,Bogor,700000000,2.0,1.0,78,48,yes,no,no,no,no
Cibinong,Bogor,590000000,2.0,1.0,72,38,yes,no,no,no,no
Cileungsi,Bogor,1070000000,2.0,1.0,105,70,yes,no,no,no,no
Tanah Sareal,Bogor,820000000,2.0,1.0,78,54,no,yes,yes,no,no
Cileungsi,Bogor,540000000,2.0,1.0,72,50,yes,no,no,no,no
Gunung Sindur,Bogor,680000000,2.0,2.0,86,56,yes,no,no,no,no
Gunung Sindur,Bogor,700000000,2.0,1.0,78,50,yes,no,no,no,no
Kota Wisata,Bogor,2680000000,3.0,4.0,200,198,yes,no,no,no,no
Kota Wisata,Bogor,1900000000,3.0,4.0,128,105,yes,no,no,no,no
Parung Panjang,Bogor,540000000,2.0,1.0,72,39,yes,no,no,no,no
Sentul City,Bogor,1450000000,3.0,3.0,70,85,yes,no,no,no,no
Bojong Sari,Depok,1220000000,3.0,2.0,72,90,yes,no,no,no,no
Sawangan,Depok,1190000000,3.0,3.0,72,140,no,no,no,no,no
Pancoran Mas,Depok,583000000,3.0,2.0,40,60,no,no,no,no,no
Cilodong,Depok,655000000,3.0,2.0,48,50,yes,no,no,no,no
Citayam,Depok,490000000,2.0,1.0,62,40,yes,no,no,no,no
Sawangan,Depok,210000000,3.0,1.0,60,30,no,no,yes,no,no
Bojong Sari,Depok,600000000,2.0,1.0,82,39,yes,no,no,no,no
Cilodong,Depok,581000000,2.0,2.0,43,42,yes,no,no,no,no
Cilodong,Depok,765000000,3.0,2.0,72,66,yes,no,yes,no,no
Cinere,Depok,1700000000,3.0,3.0,72,128,no,no,yes,no,no
Sukmajaya,Depok,1340000000,2.0,1.0,120,100,yes,no,no,no,no
Sawangan,Depok,1640000000,3.0,2.0,84,95,yes,no,no,no,no
Sawangan,Depok,1610000000,3.0,2.0,105,80,yes,no,no,no,no
Pancoran Mas,Depok,1500000000,5.0,3.0,135,150,yes,no,no,no,no
Pancoran Mas,Depok,2890000000,5.0,3.0,123,170,yes,no,no,no,no
Limo,Depok,700000000,3.0,2.0,96,80,no,no,no,no,no
Limo,Depok,1820000000,6.0,5.0,150,180,no,no,no,no,no
Citayam,Depok,730000000,2.0,1.0,93,45,no,no,no,no,no
Citayam,Depok,1400000000,3.0,3.0,160,190,no,no,no,no,no
Cinere,Depok,1610000000,3.0,2.0,112,70,no,no,no,no,no
Cinere,Depok,750000000,4.0,2.0,91,70,no,no,no,no,no
Cimanggis,Depok,1610000000,3.0,2.0,131,160,yes,no,no,no,no
Cimanggis,Depok,1340000000,2.0,1.0,103,60,yes,no,no,no,no
Cilodong,Depok,700000000,2.0,1.0,78,36,no,no,no,no,no
Cilodong,Depok,1820000000,4.0,2.0,124,39,no,no,no,no,no
Beji,Depok,1820000000,3.0,2.0,72,144,yes,no,no,no,no
Beji,Depok,730000000,2.0,1.0,93,45,yes,no,no,no,no
Sawangan,Depok,414000000,2.0,1.0,82,40,no,no,yes,no,no
Cilodong,Depok,780000000,3.0,2.0,60,60,no,no,no,no,no
Sawangan,Depok,500000000,2.0,1.0,81,45,yes,no,no,no,no
Tapos,Depok,1290000000,3.0,2.0,105,80,no,no,yes,no,no
Bojong Sari,Depok,1290000000,3.0,2.0,105,120,no,no,no,no,no
Cilodong,Depok,780000000,2.0,1.0,91,60,no,no,no,no,no
Cilodong,Depok,990000000,3.0,2.0,72,90,yes,no,no,no,no
Cilodong,Depok,1490000000,4.0,3.0,90,100,no,no,no,no,no
Sukmajaya,Depok,1780000000,3.0,3.0,106,150,no,no,yes,no,no
Beji,Depok,1050000000,2.0,1.0,90,50,no,no,yes,no,no
Cimanggis,Depok,1290000000,3.0,2.0,185,100,no,no,no,no,no
Cilodong,Depok,1340000000,4.0,3.0,90,100,yes,no,no,no,no
Cilodong,Depok,920000000,2.0,2.0,84,70,yes,no,no,no,no
Citayam,Depok,649000000,3.0,2.0,60,120,no,no,yes,no,no
Margonda,Depok,2610000000,3.0,4.0,194,120,yes,no,yes,no,no
Cimanggis,Depok,1130000000,3.0,3.0,93,123,yes,no,yes,no,no
Margonda,Depok,590000000,2.0,1.0,86,60,yes,no,no,no,no
Sawangan,Depok,1070000000,2.0,3.0,133,100,yes,no,no,no,no
Sawangan,Depok,1290000000,2.0,2.0,78,60,yes,no,no,no,no
Sawangan,Depok,650000000,2.0,1.0,84,69,no,no,no,no,no
Beji,Depok,830000000,2.0,1.0,78,45,yes,no,no,no,no
Beji,Depok,1040000000,2.0,1.0,95,100,yes,no,no,no,no
Beji,Depok,1180000000,3.0,3.0,76,70,yes,no,no,no,no
Margonda,Depok,2040000000,3.0,3.0,150,115,yes,no,no,no,no
Margonda,Depok,1140000000,4.0,2.0,90,168,yes,no,no,no,no
Sukmajaya,Depok,3110000000,4.0,3.0,160,156,no,no,no,no,no
Sukmajaya,Depok,2360000000,3.0,3.0,128,160,no,no,no,no,no
Pancoran Mas,Depok,590000000,2.0,1.0,45,72,yes,no,no,no,no
Sawangan,Depok,590000000,2.0,1.0,45,72,no,no,no,no,no
Pancoran Mas,Depok,1070000000,2.0,3.0,133,100,yes,no,no,no,no
Citayam,Depok,1880000000,3.0,3.0,160,150,no,no,no,no,no
Citayam,Depok,910000000,3.0,3.0,78,69,no,no,no,no,no
Citayam,Depok,910000000,3.0,3.0,78,69,no,no,no,no,no
Beji,Depok,1040000000,2.0,1.0,95,100,no,no,no,no,no
Cipayung,Depok,910000000,3.0,3.0,78,69,yes,no,no,no,no
Mekarsari,Depok,1300000000,3.0,3.0,95,90,no,no,yes,no,no
Cinere,Depok,1360000000,4.0,2.0,105,156,yes,no,no,no,no
Cilodong,Depok,1080000000,3.0,2.0,72,90,no,no,yes,no,no
Rangkapanjaya,Depok,895000000,3.0,3.0,50,90,no,no,no,no,no
Sawangan,Depok,505000000,2.0,1.0,45,70,no,no,yes,no,no
Tanah Baru,Depok,1280000000,3.0,2.0,90,125,yes,no,yes,no,no
Cinere,Depok,1850000000,4.0,3.0,96,138,no,no,yes,no,no
Pancoran Mas,Depok,850000000,2.0,2.0,125,100,no,no,yes,no,no
Sawangan,Depok,850000000,3.0,2.0,76,65,yes,no,no,no,no
Sawangan,Depok,1070000000,2.0,3.0,133,100,yes,no,no,no,no
Sawangan,Depok,700000000,2.0,1.0,67,36,no,no,no,no,no
Sawangan,Depok,1610000000,3.0,3.0,200,150,no,no,no,no,no
Sawangan,Depok,550000000,2.0,1.0,66,45,yes,no,no,no,no
Cinere,Depok,2400000000,3.0,4.0,90,130,no,no,no,no,no
Sawangan,Depok,860000000,3.0,2.0,72,70,yes,no,no,no,no
Cinere,Depok,1930000000,3.0,3.0,90,170,no,yes,yes,no,no
Pancoran Mas,Depok,1290000000,3.0,2.0,105,120,yes,no,no,no,no
Pancoran Mas,Depok,660000000,2.0,1.0,82,50,no,no,no,no,no
Cinere,Depok,2300000000,4.0,3.0,100,110,yes,no,no,no,no
Limo,Depok,995000000,3.0,3.0,100,66,yes,no,no,no,no
Limo,Depok,590000000,2.0,1.0,75,50,yes,no,no,no,no
Limo,Depok,650000000,2.0,10.0,75,45,yes,no,no,no,no
Cinere,Depok,700000000,3.0,2.0,96,80,no,no,no,no,no
Sawangan,Depok,2470000000,3.0,1.0,128,144,yes,no,no,no,no
Sawangan,Depok,860000000,2.0,1.0,84,69,no,no,no,no,no
Cinere,Depok,1720000000,2.0,3.0,90,140,yes,no,no,no,no
Cinere,Depok,1920000000,3.0,3.0,117,120,yes,no,no,no,no
Sawangan,Depok,650000000,3.0,1.0,115,81,no,no,yes,no,no
Sukmajaya,Depok,1400000000,3.0,2.0,180,90,no,no,no,no,no
Sukmajaya,Depok,1290000000,2.0,1.0,107,45,no,no,no,no,no
Cimanggis,Depok,1500000000,3.0,3.0,102,107,no,no,no,no,no
Sukmajaya,Depok,2560000000,3.0,3.0,135,91,no,no,no,no,no
Sukmajaya,Depok,1290000000,3.0,2.0,100,185,no,no,no,no,no
Beji,Depok,1780000000,5.0,4.0,101,140,no,no,yes,no,no
Kelapa Dua,Depok,1770000000,3.0,3.0,87,90,no,no,yes,no,no
Beji,Depok,1500000000,3.0,2.0,108,189,yes,no,no,no,no
Sawangan,Depok,485000000,2.0,1.0,60,45,yes,yes,no,no,yes
Pancoran Mas,Depok,1250000000,3.0,3.0,85,135,no,no,no,no,no
Cinere,Depok,2000000000,3.0,3.0,72,96,yes,no,no,no,no
Citayam,Depok,195000000,2.0,1.0,50,40,yes,yes,no,no,no
Kelapa Dua,Depok,756000000,3.0,2.0,50,53,yes,no,no,no,no
Cimanggis,Depok,1300000000,3.0,3.0,150,150,no,no,no,no,no
Citayam,Depok,200000000,2.0,1.0,50,30,yes,no,yes,no,no
Cinangka,Depok,850000000,3.0,2.0,96,70,no,no,no,no,no
Cimanggis,Depok,1850000000,3.0,2.0,130,121,yes,no,no,no,no
Cimanggis,Depok,1580000000,3.0,2.0,105,150,no,no,yes,no,no
Cinere,Depok,1070000000,2.0,2.0,40,90,no,no,yes,no,no
Citayam,Depok,1500000000,3.0,2.0,108,189,yes,no,no,no,no
Cinere,Depok,1020000000,2.0,1.0,84,40,no,no,no,no,no
Cimanggis,Depok,1070000000,3.0,2.0,74,55,yes,no,no,no,no
Cilodong,Depok,610000000,2.0,1.0,72,41,yes,no,no,no,no
Beji,Depok,4020000000,3.0,2.0,123,180,yes,no,no,no,no
Pancoran Mas,Depok,2790000000,5.0,4.0,171,200,no,no,yes,no,no
Cibubur,Depok,1700000000,3.0,3.0,83,105,no,no,yes,no,no
Pancoran Mas,Depok,810000000,4.0,2.0,86,86,yes,no,no,no,no
Citayam,Depok,590000000,2.0,1.0,84,36,yes,no,no,no,no
Citayam,Depok,1400000000,3.0,2.0,105,55,yes,no,no,no,no
Citayam,Depok,650000000,2.0,2.0,72,51,yes,no,no,no,no
Citayam,Depok,535000000,2.0,1.0,68,36,yes,no,no,no,no
Cimanggis,Depok,1610000000,3.0,4.0,170,120,yes,no,no,no,no
Cimanggis,Depok,810000000,2.0,2.0,70,80,yes,no,no,no,no
Cilodong,Depok,810000000,2.0,1.0,172,65,yes,no,no,no,no
Cilodong,Depok,740000000,2.0,1.0,84,70,yes,no,no,no,no
Beji,Depok,2950000000,5.0,4.0,135,200,yes,no,no,no,no
Beji,Depok,540000000,2.0,1.0,75,36,yes,no,no,no,no
Beji,Depok,1720000000,3.0,2.0,128,70,no,no,no,no,no
Beji,Depok,1400000000,3.0,3.0,160,190,yes,no,no,no,no
Beji,Depok,970000000,2.0,2.0,100,95,no,no,no,no,no
Kelapa Dua,Depok,756000000,3.0,2.0,50,53,yes,yes,no,no,no
Cimanggis,Depok,729000000,3.0,2.0,67,60,no,yes,yes,no,no
Cimanggis,Depok,1550000000,3.0,3.0,199,130,no,no,no,no,no
Sawangan,Depok,1400000000,3.0,2.0,105,55,yes,no,no,no,no
Margonda,Depok,750000000,2.0,2.0,91,70,yes,no,no,no,no
Tapos,Depok,700000000,2.0,1.0,78,36,yes,no,no,no,no
Cimanggis,Depok,3110000000,4.0,3.0,160,156,no,no,yes,no,no
Limo,Depok,1050000000,3.0,2.0,72,110,yes,no,no,no,no
Sawangan,Depok,870000000,2.0,1.0,96,70,no,yes,no,no,no
Sukmajaya,Depok,1250000000,4.0,3.0,75,90,yes,no,no,no,no
Pancoran Mas,Depok,860000000,3.0,1.0,125,100,yes,no,no,no,no
Pancoran Mas,Depok,750000000,4.0,2.0,91,70,no,no,no,no,no
Limo,Depok,590000000,2.0,1.0,72,40,yes,no,no,no,no
Sukmajaya,Depok,1400000000,2.0,1.0,123,53,yes,no,no,no,no
Sawangan,Depok,2250000000,4.0,3.0,150,150,yes,no,no,no,no
Sawangan,Depok,1020000000,2.0,2.0,60,72,yes,no,no,no,no
Sawangan,Depok,650000000,2.0,1.0,86,41,no,no,no,no,no
Citayam,Depok,1820000000,3.0,2.0,72,144,no,no,no,no,no
Citayam,Depok,2140000000,4.0,2.0,130,196,no,no,no,no,no
Sawangan,Depok,640000000,2.0,2.0,87,50,yes,no,no,no,no
Cinere,Depok,650000000,2.0,1.0,77,36,no,no,no,no,no
Cinere,Depok,4020000000,3.0,2.0,123,180,no,no,no,no,no
Cimanggis,Depok,1720000000,5.0,2.0,104,126,yes,no,no,no,no
Cimanggis,Depok,1930000000,4.0,1.0,128,165,yes,no,no,no,no
Cilodong,Depok,950000000,3.0,3.0,75,80,no,no,yes,no,no
Cimanggis,Depok,1930000000,3.0,2.0,96,180,yes,no,no,no,no
Sukmajaya,Depok,990000000,3.0,2.0,85,66,yes,no,no,no,no
Cilodong,Depok,700000000,2.0,1.0,72,36,no,no,no,no,no
Cilodong,Depok,1400000000,3.0,3.0,160,190,no,no,no,no,no
Beji,Depok,650000000,2.0,1.0,77,36,no,no,no,no,no
Tapos,Depok,1110000000,3.0,2.0,135,90,no,no,yes,no,no
Cimanggis,Depok,1300000000,4.0,2.0,137,130,no,no,yes,no,no
Margonda,Depok,1050000000,2.0,1.0,90,38,no,no,yes,no,no
Margonda,Depok,1360000000,3.0,3.0,84,88,no,no,no,no,no
Tapos,Depok,898000000,3.0,2.0,66,74,yes,yes,no,no,no
Beji,Depok,1630000000,3.0,2.0,90,62,no,no,yes,no,no
Cilodong,Depok,627000000,2.0,1.0,61,40,no,no,yes,no,no
Cimanggis,Depok,680000000,4.0,2.0,63,63,yes,no,no,no,no
Cimanggis,Depok,1930000000,4.0,3.0,106,165,no,no,no,no,no
Cilodong,Depok,1880000000,3.0,3.0,160,150,yes,no,no,no,no
Tapos,Depok,830000000,2.0,1.0,90,30,yes,no,no,no,no
Citayam,Depok,397000000,2.0,1.0,84,36,no,no,yes,no,no
Beji,Depok,819000000,2.0,1.0,72,36,no,no,no,no,no
Beji,Depok,1400000000,4.0,3.0,105,115,no,no,no,no,no
Cilodong,Depok,643000000,2.0,2.0,45,48,no,yes,yes,no,no
Cilodong,Depok,600000000,2.0,1.0,83,54,no,no,yes,no,no
Cilodong,Depok,1160000000,2.0,1.0,98,45,yes,no,no,no,no
Kelapa Dua,Depok,1100000000,3.0,2.0,70,74,yes,no,no,no,no
Cinere,Depok,1950000000,3.0,2.0,90,105,no,no,yes,no,no
Beji,Depok,900000000,2.0,1.0,60,75,no,no,yes,no,no
Beji,Depok,1790000000,3.0,2.0,98,130,no,no,no,no,no
Cinere,Depok,5000000000,1.0,1.0,175,171,no,no,no,no,no
Cinere,Depok,4400000000,3.0,2.0,175,180,no,no,no,no,no
Cinere,Depok,5100000000,4.0,3.0,175,171,yes,no,no,no,no
Sawangan,Depok,950000000,2.0,1.0,105,84,yes,no,no,no,no
Sawangan,Depok,500000000,3.0,2.0,90,150,no,no,no,no,no
Sukmajaya,Depok,1740000000,3.0,2.0,172,170,yes,yes,no,no,no
Tapos,Depok,575000000,4.0,1.0,119,150,no,no,no,no,no
Bojong Sari,Depok,772000000,2.0,2.0,109,200,no,no,no,yes,no
Limo,Depok,613000000,3.0,2.0,46,47,yes,no,yes,no,no
Cilodong,Depok,800000000,3.0,2.0,65,78,yes,no,no,no,no
Cilodong,Depok,600000000,2.0,1.0,60,38,yes,no,no,no,no
Harjamukti,Depok,994000000,2.0,1.0,78,42,no,no,yes,no,no
Kukusan,Depok,1150000000,4.0,2.0,80,138,no,no,yes,no,no
Beji,Depok,400000000,2.0,1.0,60,40,yes,no,no,no,no
Kelapa Dua,Depok,1300000000,3.0,3.0,52,103,yes,no,yes,no,no
Cimanggis,Depok,550000000,2.0,1.0,61,36,yes,no,yes,no,no
Cilodong,Depok,895000000,3.0,2.0,70,70,yes,no,yes,no,no
Margonda,Depok,1340000000,3.0,2.0,105,150,yes,no,no,no,no
Margonda,Depok,700000000,3.0,2.0,83,80,yes,no,no,no,no
Cilodong,Depok,2560000000,3.0,3.0,135,91,yes,no,no,no,no
Kelapa Dua,Depok,1430000000,3.0,2.0,52,103,yes,yes,no,no,no
Cinere,Depok,1450000000,3.0,2.0,104,150,no,no,no,no,no
Sawangan,Depok,210000000,2.0,1.0,50,36,yes,no,yes,no,no
Cinere,Depok,810000000,4.0,2.0,86,86,no,no,no,no,no
Citayam,Depok,750000000,2.0,1.0,75,45,yes,no,no,no,no
Sawangan,Depok,1530000000,3.0,3.0,90,70,yes,no,no,no,no
Cimanggis,Depok,2360000000,3.0,3.0,128,160,yes,no,no,no,no
Cimanggis,Depok,1070000000,3.0,3.0,93,123,yes,no,no,no,no
Rangkapanjaya,Depok,1300000000,3.0,2.0,83,154,yes,no,no,no,no
Sawangan,Depok,880000000,2.0,2.0,172,150,no,no,yes,no,no
Cilodong,Depok,1490000000,4.0,3.0,90,100,no,no,no,no,no
Kelapa Dua,Depok,1430000000,3.0,2.0,87,107,yes,no,no,no,no
Citayam,Depok,195000000,2.0,1.0,50,36,yes,no,no,no,yes
Cilodong,Depok,1490000000,4.0,3.0,90,100,no,no,no,no,no
Kelapa Dua,Depok,1430000000,3.0,2.0,87,107,yes,no,no,no,no
Citayam,Depok,195000000,2.0,1.0,50,36,yes,no,no,no,yes
Citayam,Depok,145000000,2.0,1.0,30,30,no,no,no,no,no
Limo,Depok,780000000,4.0,1.0,90,160,no,no,no,no,no
Beji,Depok,1820000000,3.0,2.0,124,114,yes,no,no,no,no
Beji,Depok,860000000,3.0,1.0,125,100,yes,no,no,no,no
Cilodong,Depok,880000000,2.0,2.0,138,84,yes,no,no,no,no
Limo,Depok,1930000000,2.0,2.0,180,100,yes,no,no,no,no
Sukmajaya,Depok,1930000000,4.0,3.0,106,165,no,no,no,no,no
Limo,Depok,1040000000,2.0,1.0,95,100,yes,no,no,no,no
Limo,Depok,107000000000,2.0,2.0,40,90,no,no,no,no,no
Citayam,Depok,1230000000,3.0,2.0,150,75,yes,no,no,no,no
Cimanggis,Depok,1160000000,2.0,1.0,98,45,yes,no,no,no,no
Cimanggis,Depok,750000000,3.0,1.0,93,60,yes,no,no,no,no
Cilodong,Depok,870000000,2.0,1.0,120,38,yes,no,no,no,no
Beji,Depok,1500000000,5.0,3.0,135,150,yes,no,no,no,no
Beji,Depok,2240000000,3.0,4.0,105,100,yes,no,no,no,no
Beji,Depok,810000000,4.0,2.0,60,90,yes,no,no,no,no
Citayam,Depok,200000000,2.0,1.0,50,40,no,no,yes,no,no
Sawangan,Depok,860000000,2.0,2.0,85,50,no,no,no,no,no
Sawangan,Depok,1290000000,3.0,2.0,96,85,no,no,no,no,no
Sawangan,Depok,1290000000,3.0,2.0,80,96,no,no,no,no,no
Pancoran Mas,Depok,860000000,3.0,2.0,78,120,yes,no,no,no,no
Pancoran Mas,Depok,910000000,2.0,1.0,80,72,yes,no,no,no,no
Cipayung,Depok,910000000,2.0,2.0,108,85,yes,no,no,no,no
Cipayung,Depok,650000000,2.0,1.0,72,48,yes,no,no,no,no
Limo,Depok,750000000,2.0,1.0,77,36,yes,no,no,no,no
Cimanggis,Depok,910000000,2.0,1.0,90,54,yes,no,no,no,no
Limo,Depok,1640000000,3.0,2.0,84,95,yes,no,no,no,no
Cilodong,Depok,1070000000,3.0,2.0,140,100,yes,no,no,no,no
Sawangan,Depok,1880000000,3.0,2.0,128,81,yes,no,no,no,no
Tapos,Depok,1020000000,3.0,2.0,120,140,yes,no,no,no,no
Tapos,Depok,880000000,2.0,1.0,90,42,no,no,no,no,no
Cimanggis,Depok,1200000000,3.0,3.0,129,120,no,no,yes,no,no
Sepatan,Tangerang,299000000,2.0,1.0,60,36,no,yes,yes,no,no
Gading Serpong Samara Village,Tangerang,1600000000,2.0,2.0,72,114,no,no,no,yes,no
BSD Vanya Park,Tangerang,1350000000,2.0,2.0,60,80,no,no,no,no,no
BSD Sevilla,Tangerang,2900000000,4.0,1.0,144,200,no,yes,no,no,no
Larangan,Tangerang,720000000,2.0,1.0,60,36,yes,no,no,no,no
Gading Serpong,Tangerang,2850000000,3.0,3.0,108,120,no,no,no,no,no
BSD Neo Catalonia,Tangerang,1500000000,2.0,1.0,98,70,no,no,no,no,no
BSD The Green,Tangerang,2250000000,3.0,2.0,105,190,no,no,no,no,no
Pasar Kemis,Tangerang,890000000,4.0,2.0,120,140,yes,no,no,no,no
Sindang Jaya,Tangerang,1000000000,2.0,2.0,66,79,no,no,no,no,no
BSD,Tangerang,2200000000,3.0,2.0,70,78,no,no,no,no,no
Lippo Karawaci,Tangerang,1800000000,3.0,2.0,120,180,no,no,yes,no,no
Cisauk,Tangerang,950000000,2.0,1.0,98,60,yes,no,no,no,no
Cisauk,Tangerang,950000000,2.0,1.0,98,60,yes,no,no,no,no
Curug,Tangerang,991000000,4.0,3.0,72,70,no,no,no,yes,no
BSD City,Tangerang,1020000000,2.0,1.0,98,60,no,no,yes,no,no
Gading Serpong,Tangerang,3500000000,3.0,2.0,79,91,no,no,no,no,no
Curug,Tangerang,991000000,4.0,3.0,70,77,yes,no,no,no,no
BSD Avani,Tangerang,3450000000,3.0,3.0,180,135,yes,no,no,no,no
Karawaci,Tangerang,650000000,2.0,1.0,90,60,no,no,no,no,no
BSD City,Tangerang,1440000000,3.0,2.0,100,70,no,no,no,no,no
BSD,Tangerang,1020000000,2.0,1.0,98,60,no,no,no,no,no
BSD City,Tangerang,1550000000,3.0,2.0,84,91,yes,no,no,no,no
Poris,Tangerang,920000000,3.0,2.0,75,67,no,no,no,no,no
Gading Serpong,Tangerang,1450000000,4.0,3.0,138,120,no,no,no,no,no
Lippo Karawaci,Tangerang,2600000000,4.0,4.0,168,200,no,no,yes,no,no
BSD City,Tangerang,1600000000,3.0,3.0,70,80,yes,no,no,no,no
Pondok Cabe,Tangerang,900000000,3.0,3.0,70,78,yes,yes,no,no,yes
BSD City,Tangerang,1130000000,2.0,2.0,84,45,no,no,yes,no,no
BSD Anggrek Loka,Tangerang,2600000000,3.0,2.0,200,150,yes,no,no,no,no
BSD Green Wich,Tangerang,990000000,2.0,1.0,40,45,no,no,yes,no,no
Gading Serpong,Tangerang,3200000000,4.0,3.0,96,161,no,no,no,yes,no
Gading Serpong,Tangerang,3000000000,3.0,3.0,110,130,yes,no,no,no,no
Gading Serpong,Tangerang,2440000000,3.0,2.0,84,92,yes,no,no,no,no
Gading Serpong,Tangerang,3200000000,4.0,3.0,144,176,yes,no,no,no,no
Lippo Karawaci,Tangerang,1440000000,4.0,2.0,96,110,yes,no,no,no,no
